sina_code,name,tag,amount,today_pct,turnover,open_pct,price,pct_10,link_dragon,vol,vol_prev,vol_ratio,code
sh600226,亨通股份,首板/炸板/反包预期,1218000000.0,5.76,7.36,0.0,5.51,6.37,,0,0,0,600226
sh600869,远东股份,2板/机器人/AI,1183000000.0,9.97,5.55,3.1,9.93,27.14,,0,0,0,600869
sz002218,拓日新能,首板/炸板/反包预期,1143000000.0,5.72,17.68,0.23,4.62,10.53,,0,0,0,002218
sh688331,荣昌生物,首板,1134000000.0,11.13,8.0,0.24,91.24,14.18,,0,0,0,688331
sz002195,岩山科技,3板,1131000000.0,10.02,2.14,10.02,9.44,39.03,,0,0,0,002195
sh688661,和林微纳,首板/🔥20cm,1082000000.0,15.24,11.2,3.86,65.02,23.87,,0,0,0,688661
sh688548,广钢气体,1板/航天/🔥20cm,1036999999.9999999,20.0,8.69,1.13,18.12,36.24,,0,0,0,688548
sz002582,好想你,首板/炸板/反包预期,1031000000.0,-4.25,25.4,10.03,11.26,1.44,,0,0,0,002582
sh600135,乐凯胶片,1板/航天,1008000000.0,9.99,16.73,-2.38,11.56,28.02,,0,0,0,600135
sz002943,宇晶股份,首板/炸板/反包预期,994000000.0,8.61,15.53,0.8,49.96,40.53,,0,0,0,002943
sh600408,安泰集团,1板,931000000.0,9.9,20.9,2.66,4.55,-3.6,,0,0,0,600408
sz003031,中瓷电子,1板,925000000.0,10.0,3.52,0.05,80.63,3.05,,0,0,0,003031
sh600880,博瑞传播,首板/炸板/反包预期,902000000.0,3.37,13.85,-1.07,5.82,16.87,,0,0,0,600880
sh600403,大有能源,1板,863000000.0000001,10.07,4.82,0.7,7.87,11.79,,0,0,0,600403
sh600475,华光环能,1板,858000000.0,9.99,4.52,0.0,20.92,20.23,,0,0,0,600475
sh688662,富信科技,1板/CPO/🔥20cm,848000000.0,20.0,16.58,-0.27,61.73,28.18,,0,0,0,688662
sz300467,迅游科技,首板,848000000.0,13.46,14.46,2.0,34.64,21.76,,0,0,0,300467
sh600986,浙文互联,首板/炸板/反包预期,843000000.0,2.56,6.65,0.85,8.42,14.4,,0,0,0,600986
sz002490,山东墨龙,首板/炸板/反包预期,839000000.0,5.77,20.86,-1.65,7.7,19.01,,0,0,0,002490
sh601106,中国一重,1板,785000000.0,10.1,2.65,0.74,4.47,6.18,,0,0,0,601106
sh688545,兴福电子,首板/🔥20cm,763000000.0,15.65,25.03,2.63,44.85,19.22,,0,0,0,688545
sz002922,伊戈尔,1板,756000000.0,10.01,5.81,5.03,35.62,8.96,,0,0,0,002922
sh603052,可川科技,1板/固态电池/消费电子,751000000.0,9.99,10.38,-1.01,40.41,32.49,,0,0,0,603052
sz002277,友阿股份,1板/机器人,691000000.0,9.94,6.45,0.14,7.85,4.39,,0,0,0,002277
sz000798,中水渔业,1板,668000000.0,9.97,16.02,2.61,11.8,4.42,,0,0,0,000798
sh600198,大唐电信,1板/卫星,643000000.0,10.04,4.71,-0.61,10.74,17.25,,0,0,0,600198
sh688273,麦澜德,📉跌停/博弈修复,631000000.0,-10.39,30.94,-1.99,54.86,53.67,,0,0,0,688273
sz300606,金太阳,首板,614000000.0,11.48,20.49,1.42,25.83,20.59,,0,0,0,300606
sz002842,翔鹭钨业,1板,607000000.0,9.98,14.15,2.0,16.53,20.57,,0,0,0,002842
sz300509,新美星,首板,599000000.0,12.41,16.24,-0.66,15.31,22.77,,0,0,0,300509
sz002796,世嘉科技,1板,594000000.0,9.99,8.81,0.95,31.16,29.35,,0,0,0,002796
sh603037,凯众股份,1板/机器人,586000000.0,9.99,14.31,-0.28,15.86,15.35,,0,0,0,603037
sz002718,友邦吊顶,5板,567000000.0,10.0,21.86,10.0,47.83,57.08,,0,0,0,002718
sz300478,杭州高新,📉跌停/博弈修复,542000000.0,-10.36,14.23,-0.19,28.73,-11.84,,0,0,0,300478
sh601015,陕西黑猫,1板,540000000.0,10.0,6.69,1.35,4.07,9.41,,0,0,0,601015
sh688625,呈和科技,首板,523000000.00000006,12.86,5.59,0.17,51.96,32.89,,0,0,0,688625
sz002774,快意电梯,3板,519000000.00000006,9.97,15.42,-2.05,12.35,33.08,,0,0,0,002774
sh603028,赛福天,1板/机器人,492000000.0,9.98,18.25,0.11,9.7,21.86,,0,0,0,603028
sz002350,北京科锐,首板/炸板/反包预期,466000000.0,5.05,9.97,1.08,8.73,6.72,,0,0,0,002350
sz002631,德尔未来,首板/炸板/反包预期,463000000.0,-0.51,9.54,3.55,5.88,10.73,,0,0,0,002631
sh688651,盛邦安全,1板/卫星/航天/🔥20cm,457000000.0,20.0,28.04,-0.09,54.07,31.27,,0,0,0,688651
sz002677,浙江美大,首板/炸板/反包预期,455999999.99999994,7.04,9.26,1.15,9.27,11.15,,0,0,0,002677
sz002324,普利特,3板/航天,408000000.0,10.03,2.47,10.03,21.29,67.37,,0,0,0,002324
sh688759,必贝特-U,1板/🔥20cm,404000000.0,20.0,21.58,4.32,41.4,41.35,,0,0,0,688759
sz002462,嘉事堂,3板,403000000.0,10.01,7.23,10.01,19.12,22.96,,0,0,0,002462
sh688480,赛恩斯,首板/炸板/反包预期/🔥20cm,387000000.0,14.77,6.59,3.46,62.1,30.3,,0,0,0,688480
sh600053,九鼎投资,1板/机器人,377000000.0,10.0,4.13,0.77,21.56,11.88,,0,0,0,600053
sz002541,鸿路钢构,1板/机器人,366000000.0,9.98,4.08,0.65,18.63,11.42,,0,0,0,002541
sz002864,盘龙药业,1板,356000000.0,10.0,14.24,0.0,34.87,9.17,,0,0,0,002864
sz002853,皮阿诺,1板/AI,344000000.0,10.01,12.26,1.32,22.53,-7.32,,0,0,0,002853
sh688282,理工导航,首板/🔥20cm,331000000.0,15.43,5.65,-0.97,69.95,29.23,,0,0,0,688282
sh688710,益诺思,1板/🔥20cm,317000000.0,20.0,6.58,0.02,55.31,23.02,,0,0,0,688710
sh603015,弘讯科技,1板,286000000.0,10.04,5.11,0.0,14.14,14.03,,0,0,0,603015
sz002627,三峡旅游,1板,272000000.0,9.99,5.04,-0.28,7.82,2.09,,0,0,0,002627
sh688053,ST思科瑞,首板,271000000.0,13.52,6.58,0.45,42.66,18.6,,0,0,0,688053
sz000620,盈新发展,2板/存储,239000000.0,9.9,1.53,9.9,3.33,16.03,,0,0,0,000620
sh603268,*ST松发,2板,185000000.0,5.0,1.63,2.0,92.44,19.9,,0,0,0,603268
sz002592,ST八菱,3板,170000000.0,5.02,6.83,1.75,9.62,37.63,,0,0,0,002592
sh603057,紫燕食品,1板,163000000.0,10.01,1.79,-0.48,22.96,16.67,,0,0,0,603057
sz000635,英 力 特,1板,153000000.0,9.99,5.21,-0.11,9.91,4.54,,0,0,0,000635
sz002519,银河电子,F佬/银河电子(航天/中位辨识度/没动) # 复盘：同雷科，没动/3板/军工,130000000.0,9.95,1.35,9.95,8.62,42.01,,0,0,0,002519
sz003004,*ST声迅,3板,128000000.0,5.02,7.25,5.02,25.94,15.29,,0,0,0,003004
sz000608,*ST阳光,3板,76291500.0,5.17,3.36,5.17,3.05,22.49,,0,0,0,000608
sh603822,ST嘉澳,2板/⚠️流动性差,44544900.0,5.0,0.52,5.0,111.34,21.02,,0,0,0,603822
sz002289,*ST宇顺,2板/⚠️流动性差,29010900.0,5.02,0.34,5.02,30.57,13.64,,0,0,0,002289
sz002931,锋龙股份,9板/机器人/⚠️流动性差,15557200.0,10.01,0.18,10.01,42.2,121.64,,0,0,0,002931
sh600337,美克家居,3板/AI/⚠️流动性差,14757100.0,9.92,0.26,9.92,3.88,30.2,,0,0,0,600337
sh600735,ST新华锦,3板/机器人/⚠️流动性差,8622800.0,4.96,0.37,4.96,5.5,10.22,,0,0,0,600735
sz002868,*ST绿康,3板/⚠️流动性差,4871300.0,5.0,0.08,5.0,39.03,8.18,,0,0,0,002868
sz002713,*ST东易,5板/算力/⚠️流动性差,459500.0,5.05,0.01,5.05,10.4,34.49,,0,0,0,002713
sz000691,*ST亚太,3板/军工/⚠️流动性差,106900.0,5.02,0.0,5.02,8.16,16.52,,0,0,0,000691
sz001267,汇绿生态,首板/炸板/反包预期,0.0,6.57,13.67,0.95,22.4,1.27,,0,0,0,001267
sh600637,东方明珠,1板,0.0,9.99,4.97,5.29,11.01,17.75,,0,0,0,600637
sh605168,三人行,首板/炸板/反包预期,0.0,8.53,8.58,-0.6,43.76,34.4,,0,0,0,605168
sz300806,斯迪克,首板,0.0,12.98,11.79,4.4,35.17,18.98,,0,0,0,300806
sh688037,芯源微,1板/🔥20cm,0.0,20.0,5.31,3.78,190.79,31.58,,0,0,0,688037
sh603687,大胜达,首板/炸板/反包预期,0.0,8.32,8.08,-0.82,10.55,9.1,,0,0,0,603687
sz300200,高盟新材,1板/🔥20cm,0.0,20.03,31.14,2.31,14.56,19.84,,0,0,0,300200
sh600601,方正科技,首板/炸板/反包预期,0.0,5.79,11.27,0.0,13.33,10.81,,0,0,0,600601
sz002112,三变科技,1板,0.0,10.03,16.61,9.96,15.58,15.58,,0,0,0,002112
sh603488,展鹏科技,1板,0.0,9.99,11.61,0.63,8.7,12.26,,0,0,0,603488
sh603650,彤程新材,1板,0.0,10.0,1.96,10.0,51.57,10.95,,0,0,0,603650
sh603655,朗博科技,首板/炸板/反包预期,0.0,8.67,7.21,0.16,41.99,12.51,,0,0,0,603655
sh600673,东阳光,1板,0.0,10.0,3.54,1.52,26.85,20.62,,0,0,0,600673
sh603598,引力传媒,3板,0.0,10.02,8.35,0.49,22.62,37.68,,0,0,0,603598
sh600773,西藏城投,首板/炸板/反包预期,0.0,4.79,4.57,0.38,13.79,9.79,,0,0,0,600773
sh603698,航天工程,F佬/航天工程(化工+航天/盘中手痒/跟随异动) # 复盘：盘中没忍住买的，属化工+航天属性,0.0,-4.85,11.07,-5.3,40.19,42.92,,0,0,0,603698
sh603928,兴业股份,首板/炸板/反包预期,0.0,5.51,12.36,2.12,17.42,4.5,,0,0,0,603928
sh603179,新泉股份,首板/炸板/反包预期,0.0,7.96,4.75,-1.86,81.4,27.23,,0,0,0,603179
sz301079,邵阳液压,1板/🔥20cm,0.0,20.01,48.99,-2.73,41.33,43.06,,0,0,0,301079
sh600589,大位科技,首板/炸板/反包预期,0.0,5.26,28.46,-0.25,8.4,16.18,,0,0,0,600589
sz301293,三博脑科,首板,0.0,10.45,46.31,6.53,93.82,68.62,,0,0,0,301293
sh600783,鲁信创投,持仓/鲁信创投/2板,0.0,10.0,0.67,10.0,26.94,79.36,,0,0,0,600783
sz000859,国风新材,1板,0.0,9.99,7.56,8.4,12.44,29.58,,0,0,0,000859
sz301046,能辉科技,首板,0.0,12.91,12.3,0.0,27.81,11.15,,0,0,0,301046
sh600775,南京熊猫,F佬/南京熊猫(脑机+航天/低位叠加/没动) # 复盘：归类为低位叠加日内强势，没动/3板,0.0,10.01,1.35,10.01,16.26,46.35,,0,0,0,600775
sz300141,和顺电气,首板/炸板/反包预期,0.0,10.37,23.77,5.98,14.58,25.26,,0,0,0,300141
sz001331,胜通能源,2板,0.0,9.99,1.63,9.99,56.03,159.4,,0,0,0,001331
sz002163,海南发展,F佬/海南发展(免税/防守持仓) # 复盘未提及，维持原判,0.0,0.19,18.46,0.24,20.79,30.02,,0,0,0,002163
sz300054,鼎龙股份,首板,0.0,11.27,10.0,4.0,44.83,16.05,,0,0,0,300054
sh605155,西大门,📉跌停/博弈修复,0.0,-9.33,8.13,-0.37,17.0,5.2,,0,0,0,605155
sh603125,常青科技,1板,0.0,9.98,10.84,1.47,18.74,5.7,,0,0,0,603125
sz300118,东方日升,首板,0.0,11.87,24.53,6.45,16.3,25.29,,0,0,0,300118
sz001231,农心科技,持仓/农心科技/📉跌停/博弈修复,0.0,-10.01,22.41,-10.01,27.15,25.69,,0,0,0,001231
sz001400,江顺科技,2板,0.0,10.0,30.65,1.93,93.87,43.91,,0,0,0,001400
sz002146,荣盛发展,1板,0.0,9.94,8.68,1.17,1.88,19.75,,0,0,0,002146
sh603877,太平鸟,1板,0.0,9.98,3.14,0.13,16.31,7.09,,0,0,0,603877
sh600721,百花医药,📉跌停/博弈修复,0.0,-9.97,0.86,-9.97,11.02,9.87,,0,0,0,600721
sz301363,美好医疗,3板/🔥20cm,0.0,20.01,21.44,20.01,41.56,89.0,,0,0,0,301363
sz300986,志特新材,3板/🔥20cm,0.0,20.0,19.9,8.32,19.32,89.97,,0,0,0,300986
sz300940,南极光,首板/🔥20cm,0.0,14.3,15.13,0.27,33.5,1.98,,0,0,0,300940
sh603156,养元饮品,首板/炸板/反包预期,0.0,8.78,1.96,0.28,31.09,18.8,,0,0,0,603156
sh688019,安集科技,首板/🔥20cm,0.0,18.86,5.14,3.04,278.39,31.38,,0,0,0,688019
sh688125,安达智能,1板/🔥20cm,0.0,20.0,2.84,1.02,170.08,78.11,,0,0,0,688125
sh688052,纳芯微,首板,0.0,11.08,4.95,1.49,183.87,22.88,,0,0,0,688052
sz300753,爱朋医疗,📉跌停/博弈修复,0.0,-11.11,44.91,-3.43,35.52,32.29,,0,0,0,300753
sz002009,天奇股份,F佬/天奇股份(机器人/表现不佳/不如五洲万向) # 复盘：新开仓但评价不高，感觉做坏了,0.0,3.92,30.48,0.05,21.73,36.75,sz002931,0,0,0,002009
sh603601,再升科技,F佬/再升科技(博弈出狱/早了点/高位横盘) # 复盘：新开仓，博弈出狱，感觉买早了,0.0,-3.1,18.88,-5.17,13.11,20.28,,0,0,0,603601
sz301256,华融化学,1板/🔥20cm,0.0,20.03,6.83,3.95,17.32,16.63,,0,0,0,301256
sz001208,华菱线缆,首板/炸板/反包预期,0.0,6.69,49.69,-4.21,25.83,22.82,,0,0,0,001208
sh603269,海鸥股份,首板/炸板/反包预期,0.0,8.12,17.03,1.64,13.85,11.51,,0,0,0,603269
sh688123,聚辰股份,首板,0.0,10.22,13.9,13.14,151.0,20.95,,0,0,0,688123
sz300919,中伟股份,首板,0.0,11.97,5.33,3.94,57.15,37.61,,0,0,0,300919
sz301073,君亭酒店,首板,0.0,10.77,11.22,0.39,28.49,2.85,,0,0,0,301073
sz301330,熵基科技,📉跌停/博弈修复,0.0,-9.81,31.26,-7.23,42.92,48.31,,0,0,0,301330
sh603916,苏博特,首板/炸板/反包预期,0.0,4.98,7.64,0.0,10.32,7.5,,0,0,0,603916
sz001259,利仁科技,首板/炸板/反包预期,0.0,-1.5,8.73,0.41,28.92,-2.49,,0,0,0,001259
sz300655,晶瑞电材,首板,0.0,9.85,22.23,4.75,19.19,10.35,,0,0,0,300655
sh603568,伟明环保,首板/炸板/反包预期,0.0,3.31,1.06,1.65,26.22,5.47,,0,0,0,603568
sh603516,淳中科技,1板,0.0,10.0,3.9,0.15,252.62,23.79,,0,0,0,603516
sh605303,园林股份,1板,0.0,9.99,5.63,1.52,19.48,7.15,,0,0,0,605303
sz002173,创新医疗,F佬/创新医疗(脑机龙头/暂时没动/等分歧) # 复盘：暂时没到参与时候，等分歧日/3板,0.0,9.99,2.44,9.99,28.63,32.73,,0,0,0,002173
sh603683,晶华新材,首板/炸板/反包预期,0.0,5.62,7.47,0.67,26.86,-3.03,,0,0,0,603683
sh688020,方邦股份,首板,0.0,12.57,8.22,0.0,82.48,18.57,,0,0,0,688020
sz301213,观想科技,1板/🔥20cm,0.0,20.0,3.51,20.0,82.86,22.47,,0,0,0,301213
sh688068,热景生物,首板,0.0,11.62,3.66,-0.29,192.54,14.6,,0,0,0,688068
sh603726,朗迪集团,首板/炸板/反包预期,0.0,6.99,11.74,1.28,25.09,13.94,,0,0,0,603726
sh603356,华菱精工,1板,0.0,9.99,5.77,0.0,15.64,8.91,,0,0,0,603356
sz002151,北斗星通,F佬/北斗星通(卫星/低位叠加/没做T有点蠢) # 复盘：自我检讨没做T/首板/炸板/反包预期,0.0,4.97,33.31,6.97,57.7,58.39,,0,0,0,002151
sz301021,英诺激光,首板,0.0,12.31,12.55,-0.02,54.37,24.76,,0,0,0,301021
sh603667,五洲新春,持仓/五洲新春,0.0,-2.44,22.09,-3.25,75.6,49.26,,0,0,0,603667
sz000905,厦门港务,1板,0.0,10.02,9.58,1.16,14.17,5.51,,0,0,0,000905
sz300745,欣锐科技,首板,0.0,13.28,14.94,-0.37,30.8,23.89,,0,0,0,300745
sh605288,凯迪股份,1板,0.0,10.0,2.81,-0.83,96.49,17.73,,0,0,0,605288
sh688031,星环科技-U,首板,0.0,11.37,17.78,13.27,140.68,46.73,,0,0,0,688031
