sina_code,name,tag,today_pct,open_pct,price,pct_10,link_dragon,vol,code
sz002652,扬子新材,跌停/博弈修复,-7.78,-6.64,4.03,16.81,,1144611,002652
sz000917,电广传媒,跌停/博弈修复,-0.19,0.1,10.33,18.33,,1120203,000917
sz002977,天箭科技,跌停/博弈修复,-9.99,-9.99,35.31,-11.86,,8499,002977
sh600693,东百集团,跌停/博弈修复,1.85,2.36,18.15,8.55,,972402,600693
sz920680,广道退,跌停/博弈修复,0.91,-30.0,1.11,-32.32,,226207,920680
sz002763,汇洁股份,跌停/博弈修复,-6.42,-3.72,7.29,5.04,,236094,002763
sh605122,四方新材,跌停/博弈修复,-5.26,-9.62,12.6,-0.79,,138573,605122
sz002228,合兴包装,跌停/博弈修复,-8.77,-3.9,4.68,17.29,,2429032,002228
sh603696,安记食品,跌停/博弈修复,-1.89,0.99,20.81,2.11,,199797,603696
sh600865,百大集团,跌停/博弈修复,-2.89,0.0,16.78,6.07,,358948,600865
sz002752,昇兴股份,跌停/博弈修复,-6.44,-3.5,6.68,0.45,,724086,002752
sz002361,神剑股份,跌停/博弈修复,1.92,-3.3,13.29,96.89,,2403775,002361
sh605167,利柏特,炸板/反包预期,8.41,0.13,16.37,48.28,,254210,605167
sh600783,鲁信创投,炸板/反包预期,6.72,5.25,23.99,63.2,,996724,600783
sz002187,广百股份,炸板/反包预期,-1.48,2.6,7.97,0.13,,610087,002187
sz003041,真爱美家,炸板/反包预期,8.99,-0.48,54.32,31.21,,104663,003041
sz002099,海翔药业,炸板/反包预期,-5.99,-1.08,6.12,4.97,,373106,002099
sz002682,龙洲股份,炸板/反包预期,-9.77,-7.56,8.59,-11.17,,1127308,002682
sh603221,爱丽家居,炸板/反包预期,-0.84,0.0,13.01,2.52,,127367,603221
sh600765,中航重机,炸板/反包预期,-0.31,-0.94,19.12,14.01,,667941,600765
sh603085,天成自控,炸板/反包预期,-1.09,-0.5,11.85,11.9,,201823,603085
sh601698,中国卫通,炸板/反包预期,7.33,-0.74,34.86,44.23,,2255944,601698
sz300579,数字认证,炸板/反包预期,-4.57,-5.69,33.39,16.5,,156040,300579
sz002083,孚日股份,炸板/反包预期,0.75,1.83,12.13,6.97,,1313493,002083
sz300322,硕贝德,炸板/反包预期,-0.81,-0.81,27.07,18.05,,532412,300322
sh600501,航天晨光,炸板/反包预期,8.8,0.99,29.8,10.21,,793575,600501
sz300503,昊志机电,炸板/反包预期,-0.74,-2.19,63.33,75.92,,543069,300503
sz300421,力星股份,炸板/反包预期,-0.08,0.7,35.92,26.93,,418948,300421
sz003033,征和工业,炸板/反包预期,0.46,0.22,76.9,20.55,,38590,003033
sh603080,新疆火炬,炸板/反包预期,-1.12,-0.37,23.82,5.82,,58834,603080
sh603037,凯众股份,炸板/反包预期,1.79,1.65,14.82,12.27,,211641,603037
sz002899,英派斯,炸板/反包预期,-1.42,1.6,27.73,14.82,,70187,002899
sh603216,梦天家居,炸板/反包预期,-0.86,-4.27,46.0,42.06,,46272,603216
sh600877,电科芯片,炸板/反包预期,1.37,-0.29,17.73,15.43,,430344,600877
sh603123,翠微股份,炸板/F佬/翠微(炸板/需弱转强),3.48,-4.7,16.95,20.04,,1367530,603123
sh600728,佳都科技,炸板/F佬/佳都(AI套利),-0.15,-2.53,6.71,8.58,,1457189,600728
sz002201,九鼎新材,炸板/F佬/九鼎(地天板/航天),-5.36,-2.6,11.3,35.33,,848590,002201
sz002471,中超控股,炸板/F佬/中超(断板反包预期),-1.86,-2.66,7.37,32.79,,4796100,002471
sz300115,长盈,持仓/长盈(消电中军),-0.27,-0.95,45.01,24.37,sz002475,1029418,300115
sz300223,君正,持仓/君正(存储),-5.26,1.99,106.48,14.04,,205534,300223
sz001231,农心,持仓/农心(农业),0.13,0.4,22.7,9.61,,10845,001231
sz002703,浙江世宝,持仓/世宝(需红开),-3.48,-1.88,21.09,45.75,,834935,002703
sz000547,航天发展,商业航天中军,4.0,2.93,31.21,48.27,,3368116,000547
sz300036,超图软件,同花顺/超图软件,1.93,0.0,17.98,8.05,,90937,300036
sz300053,航宇微,同花顺/航宇微,3.71,0.38,19.01,13.15,,730736,300053
sh688562,航天软件,同花顺/航天软件,1.5,-0.69,23.66,12.72,,139748,688562
sh688066,航天宏图,同花顺/航天宏图,-0.26,-0.64,31.13,17.16,,163010,688066
sz002405,四维图新,同花顺/四维图新,1.35,-0.11,9.01,4.28,,333760,002405
sz300045,华力创通,同花顺/华力创通,3.48,-0.32,28.88,18.07,,751519,300045
sh600580,卧龙电驱,人形机器人中军,-1.25,0.56,49.01,22.52,,1058845,600580
sh600118,中国卫星,F佬/卫通(千亿中军),10.0,1.95,94.95,79.76,,1411323,600118
sz002131,利欧股份,AI智能体中军,9.94,-0.19,5.64,11.9,,8712382,002131
sz300058,蓝色光标,AI智能体中军,20.0,1.67,11.52,35.05,,9821339,300058
sh603278,大业股份,5板/F佬/大业(机器人/航天)/回封(炸1次),-6.46,9.94,14.49,55.14,,978875,603278
sz002931,锋龙股份,4板/硬板(无炸),9.99,9.99,31.7,60.02,,3206,002931
sz002347,泰尔股份,4板/F佬/泰尔(机器人/航天双属性)/回封(炸9次),10.04,6.31,12.38,57.71,,383599,002347
sz002009,天奇股份,4板/F佬/天奇(锋龙补涨/弱转强)/回封(炸7次),-0.55,5.29,23.3,51.0,sz002931,1171276,002009
sz002591,恒大高新,3板/硬板(无炸),-9.98,1.88,8.12,30.34,,404803,002591
sh605255,天普股份,2板/硬板(无炸),10.0,4.94,218.02,47.19,,9998,605255
sh603192,汇得科技,2板/硬板(无炸),-8.98,0.0,26.14,12.14,,109403,603192
sh688160,步科股份,2板/硬板(无炸),3.46,2.7,151.04,54.25,,58226,688160
sh603667,五洲新春,2板/持仓/五洲(机器人/航天)/回封(炸5次),10.0,10.0,69.98,36.97,,342936,603667
sh600506,统一股份,2板/回封(炸3次),-7.97,-3.4,26.8,17.08,,298535,600506
sh605069,正和生态,2板/回封(炸3次),-2.56,-2.02,14.47,57.45,,229778,605069
sz000700,模塑科技,2板/回封(炸3次),6.12,3.24,14.74,39.58,,1604555,000700
sz001266,宏英智能,2板/回封(炸3次),10.0,3.74,39.37,39.96,,97506,001266
sz002413,雷科防务,2板/回封(炸2次),9.99,5.26,12.55,37.16,,1680703,002413
sh605086,龙高股份,2板/回封(炸1次),-2.54,3.27,45.28,18.72,,74518,605086
sh603458,勘设股份,2板/回封(炸1次),-4.69,-4.21,9.95,24.53,,256850,603458
sz002177,御银股份,2板/F佬/御银(弱转强)/回封(炸1次),7.72,-1.75,9.21,33.09,,3399826,002177
sz300840,酷特智能,1板/硬板(无炸),6.34,-4.96,20.8,27.61,,503827,300840
sz000559,万向钱潮,1板/硬板(无炸),8.86,5.74,17.08,50.48,,3762407,000559
sz002342,巨力索具,1板/硬板(无炸),3.38,0.12,8.87,27.81,,2065134,002342
sz002383,合众思壮,1板/硬板(无炸),-4.52,-0.98,12.67,20.67,,858076,002383
sh603009,北特科技,1板/硬板(无炸),-0.72,1.24,48.05,16.34,,148569,603009
sz300885,海昌新材,1板/硬板(无炸),10.07,3.81,34.1,49.63,,400030,300885
sz002905,金逸影视,1板/硬板(无炸),-2.32,-1.29,11.35,13.27,,150240,002905
sz002527,新时达,1板/硬板(无炸),3.21,8.34,17.7,18.39,,870937,002527
sh600271,航天信息,1板/硬板(无炸),-0.35,4.31,11.55,8.25,,1617048,600271
sh603686,福龙马,1板/硬板(无炸),-4.97,-0.98,30.01,16.86,,771572,603686
sz001299,美能能源,1板/硬板(无炸),10.02,4.71,14.71,25.19,,292023,001299
sh603798,康普顿,1板/硬板(无炸),0.74,0.12,16.39,9.63,,84990,603798
sz000530,冰山冷热,1板/硬板(无炸),-1.99,0.13,7.37,-5.99,,526787,000530
sh605028,世茂能源,1板/硬板(无炸),-1.25,4.1,30.13,11.39,,57782,605028
sz000981,山子高科,1板/硬板(无炸),0.5,3.23,4.05,32.79,,14499990,000981
sh603211,晋拓股份,1板/硬板(无炸),-3.47,3.01,22.79,16.1,,130266,603211
sz920270,天铭科技,1板/硬板(无炸),21.96,8.86,24.1,49.69,,124936,920270
sz002196,方正电机,1板/硬板(无炸),2.53,0.0,15.82,32.72,,1441403,002196
sz001208,华菱线缆,1板/回封(炸5次),-2.87,0.29,23.68,13.85,,1007455,001208
sh600552,凯盛科技,1板/回封(炸4次),0.64,0.56,12.51,15.19,,642796,600552
sh600376,首开股份,1板/回封(炸4次),-1.6,-2.76,6.78,34.52,,2545106,600376
sz000703,恒逸石化,1板/回封(炸3次),-3.1,-3.37,10.64,38.0,,289699,000703
sh600776,东方通信,1板/回封(炸3次),-3.08,0.65,16.37,6.23,,744211,600776
sh603119,浙江荣泰,1板/回封(炸2次),-2.69,-0.69,114.64,24.53,,131908,603119
sh603626,科森科技,1板/回封(炸2次),9.27,4.81,21.34,51.24,,956832,603626
sz300291,百纳千成,1板/回封(炸2次),1.8,-1.03,7.9,39.58,,1522614,300291
sh603608,天创时尚,1板/回封(炸2次),10.04,10.04,10.3,40.52,,105609,603608
sh603359,东珠生态,1板/回封(炸1次),-3.21,5.32,9.65,20.17,,742022,603359
sh600192,长城电工,1板/回封(炸1次),-4.37,-0.67,10.06,2.44,,342033,600192
sh603722,阿科力,1板/回封(炸1次),-3.6,0.99,39.89,7.2,,38188,603722
sh605003,众望布艺,1板/回封(炸1次),8.29,-2.2,35.0,51.32,,75386,605003
sh600682,南京新百,1板/回封(炸1次),-2.7,0.11,8.65,4.59,,616640,600682
sz000411,英特集团,1板/回封(炸10次),-3.33,-0.53,12.79,6.76,,315269,000411
sz000665,湖北广电,1板/F佬/湖北广电(AI智能体龙头)/回封(炸1次),0.33,-1.83,6.03,12.92,,1207281,000665
sz002757,南兴股份,1板/F佬/南兴(AI套利)/硬板(无炸),10.0,-0.51,19.47,23.85,,459435,002757
sz002050,三花智控,1板/F佬/三花(机器人中军)/硬板(无炸),3.75,3.2,54.47,23.74,,3056250,002050
sz002969,嘉美包装,10板/硬板(无炸),8.86,10.04,12.9,156.97,,1752172,002969
